log10(t),log10(S_E)
3.54900326202579,-7.2593305488821
3.55266821611219,-7.25823649045467
3.55630250076729,-7.25565084982413
3.73,-7.16
3.9,-7.08
4.03,-7.01
4.12,-6.96
4.23,-6.91
4.39,-6.82
4.44,-6.79
4.47712125471966,-6.77526486201967
4.77815125038364,-6.64178527738004
4.95424250943933,-6.57853620323849
5.07918124604763,-6.54430244992195
5.17609125905568,-6.50322282520141
5.25527250510331,-6.46171005655524
5.32221929473392,-6.45441563829262
5.38021124171161,-6.4242565044196
5.43136376415899,-6.40944765900371
5.47712125471966,-6.394568705211
5.51851393987789,-6.37115308980814
5.55630250076729,-6.36527930576445
5.5910646070265,-6.34143158781337
5.6232492903979,-6.32749709340645
5.65321251377534,-6.32025878252871
5.68124123737559,-6.30312887907762
5.70757017609794,-6.30725895761901
5.73239375982297,-6.27776452106588
5.75587485567249,-6.28016606463878
5.77815125038364,-6.27679900424609
5.79934054945358,-6.27599312786418
5.81954393554187,-6.26232716883388
5.83884909073726,-6.25055294061839
5.85733249643127,-6.24365107408897
5.8750612633917,-6.24809886301826
5.89209460269048,-6.23140840164206
5.90848501887865,-6.22207459452312
5.92427928606188,-6.22040642880234
5.93951925261862,-6.2105494995712
5.95424250943933,-6.19927385198492
5.96848294855394,-6.19338376628869
5.98227123303957,-6.18725322491844
5.99563519459755,-6.18442716009943
6.00860017176192,-6.17115966045658
6.02118929906994,-6.1734017985187
6.03342375548695,-6.17317278832429
6.04532297878666,-6.16038495073188
6.05690485133647,-6.16240076036885
6.06818586174616,-6.15304151112266
6.07918124604763,-6.14933424434561
6.0899051114394,-6.14477319248415
6.10037054511756,-6.15353351676581
6.11058971029925,-6.13744304954939
6.12057393120585,-6.13748106863116
6.13033376849501,-6.14063135785321
6.13987908640124,-6.13438819025035
6.14921911265538,-6.12238602400443
6.15836249209525,-6.12139607707871
6.16731733474818,-6.12796170698309
6.17609125905568,-6.11869353020478
6.1846914308176,-6.11785364354332
6.19312459835446,-6.11714090917747
6.20139712432045,-6.11009934411803
6.20951501454263,-6.11163946824121
6.21748394421391,-6.10759658724501
6.22530928172586,-6.1018892616298
6.23299611039215,-6.0915433107674
6.2405492482826,-6.09545367077008
6.24797326636181,-6.08793614239398
6.25527250510331,-6.09048310998559
6.26245108973043,-6.08358809272677
